iter	Passed	Remaining
0	0	787
1	1	714
2	2	699
3	3	758
4	3	764
5	4	741
6	5	721
7	5	713
8	6	709
9	7	703
10	7	694
11	8	689
12	8	682
13	9	680
14	10	675
15	10	670
16	11	669
17	12	675
18	13	673
19	13	671
20	14	671
21	15	668
22	15	667
23	16	664
24	16	662
25	17	660
26	18	667
27	19	667
28	19	665
29	20	664
30	21	662
31	21	661
32	22	659
33	23	657
34	23	655
35	24	653
36	25	651
37	25	650
38	26	649
39	27	648
40	27	646
41	28	646
42	29	645
43	29	645
44	30	644
45	30	642
46	31	640
47	32	639
48	32	639
49	33	643
50	34	643
51	35	641
52	35	641
53	36	639
54	37	638
55	37	637
56	38	636
57	39	635
58	39	634
59	40	633
60	41	634
61	41	634
62	42	632
63	43	632
64	43	631
65	44	630
66	45	629
67	45	628
68	46	627
69	47	626
70	47	624
71	48	624
72	49	626
73	50	626
74	50	625
75	51	624
76	52	623
77	52	622
78	53	621
79	53	620
80	54	618
81	55	617
82	55	614
83	56	613
84	56	611
85	57	611
86	58	610
87	58	610
88	59	609
89	60	608
90	60	607
91	61	606
92	62	605
93	62	604
94	63	604
95	64	607
96	65	607
97	65	606
98	66	605
99	67	604
100	67	603
101	68	602
102	69	601
103	69	600
104	70	600
105	71	600
106	71	599
107	72	598
108	73	597
109	73	597
110	74	596
111	75	595
112	75	594
113	76	592
114	76	592
115	77	591
116	78	590
117	78	589
118	79	589
119	80	590
120	81	589
121	81	587
122	82	587
123	82	586
124	83	585
125	84	585
126	84	583
127	85	583
128	86	582
129	86	581
130	87	580
131	88	580
132	88	579
133	89	579
134	90	578
135	90	577
136	91	577
137	92	576
138	92	575
139	93	574
140	94	573
141	94	572
142	95	573
143	96	572
144	96	571
145	97	571
146	98	570
147	98	569
148	99	569
149	100	568
150	101	568
151	101	567
152	102	566
153	102	565
154	103	564
155	104	564
156	104	563
157	105	562
158	106	561
159	106	561
160	107	559
161	107	558
162	108	557
163	109	557
164	110	556
165	111	558
166	111	558
167	112	557
168	113	556
169	113	556
170	114	555
171	115	555
172	115	554
173	116	553
174	117	553
175	117	552
176	118	551
177	119	550
178	119	549
179	120	548
180	121	547
181	121	547
182	122	546
183	122	545
184	123	544
185	124	543
186	124	542
187	125	542
188	126	542
189	127	541
190	127	541
191	128	541
192	129	541
193	130	540
194	130	540
195	131	539
196	132	538
197	132	537
198	133	536
199	134	536
200	134	535
201	135	534
202	136	534
203	136	533
204	137	532
205	137	531
206	138	530
207	139	529
208	139	529
209	140	528
210	141	529
211	142	528
212	142	527
213	143	527
214	144	526
215	144	525
216	145	525
217	146	524
218	146	523
219	147	522
220	148	521
221	148	521
222	149	520
223	149	519
224	150	518
225	151	517
226	151	517
227	152	516
228	153	515
229	153	515
230	154	514
231	155	513
232	155	512
233	156	513
234	157	513
235	158	512
236	158	511
237	159	510
238	160	510
239	160	509
240	161	508
241	162	507
242	162	506
243	163	506
244	163	505
245	164	504
246	165	503
247	165	502
248	166	502
249	167	501
250	167	500
251	168	499
252	168	498
253	169	498
254	170	497
255	170	496
256	171	496
257	172	496
258	173	495
259	173	495
260	174	494
261	175	493
262	175	492
263	176	492
264	177	491
265	177	490
266	178	489
267	178	488
268	179	488
269	180	487
270	180	486
271	181	486
272	182	485
273	183	484
274	183	484
275	184	483
276	184	482
277	185	482
278	186	481
279	187	481
280	187	480
281	188	480
282	189	479
283	189	478
284	190	478
285	191	477
286	191	476
287	192	475
288	193	475
289	193	474
290	194	473
291	195	473
292	195	472
293	196	471
294	197	470
295	197	470
296	198	469
297	199	468
298	199	468
299	200	467
300	201	466
301	201	466
302	202	465
303	203	465
304	203	464
305	204	463
306	205	463
307	205	462
308	206	461
309	207	460
310	207	460
311	208	459
312	209	458
313	209	458
314	210	457
315	210	456
316	211	455
317	212	455
318	212	454
319	213	453
320	214	453
321	214	452
322	215	451
323	216	451
324	216	450
325	217	450
326	218	449
327	219	449
328	219	448
329	220	447
330	221	446
331	221	446
332	222	445
333	222	444
334	223	443
335	224	443
336	224	442
337	225	441
338	226	440
339	226	440
340	227	439
341	228	438
342	228	438
343	229	437
344	230	436
345	230	436
346	231	435
347	232	434
348	233	434
349	233	434
350	234	433
351	235	432
352	235	432
353	236	431
354	237	430
355	237	430
356	238	429
357	239	428
358	239	427
359	240	427
360	240	426
361	241	425
362	242	425
363	242	424
364	243	423
365	244	423
366	244	422
367	245	421
368	246	421
369	246	420
370	247	419
371	248	419
372	249	419
373	250	418
374	250	417
375	251	417
376	251	416
377	252	415
378	253	414
379	253	414
380	254	413
381	255	412
382	255	412
383	256	411
384	257	410
385	257	409
386	258	409
387	258	408
388	259	407
389	260	407
390	260	406
391	261	405
392	262	404
393	262	404
394	263	403
395	264	403
396	265	402
397	265	402
398	266	401
399	267	400
400	267	400
401	268	399
402	269	398
403	269	397
404	270	397
405	271	396
406	271	396
407	272	395
408	273	394
409	273	394
410	274	393
411	275	392
412	275	392
413	276	391
414	277	390
415	277	389
416	278	389
417	279	389
418	280	388
419	280	387
420	281	387
421	282	386
422	282	385
423	283	385
424	284	384
425	284	383
426	285	382
427	286	382
428	286	381
429	287	380
430	288	380
431	288	379
432	289	378
433	289	378
434	290	377
435	291	376
436	291	375
437	292	375
438	293	374
439	293	373
440	294	373
441	295	372
442	296	372
443	296	371
444	297	370
445	298	370
446	298	369
447	299	368
448	300	368
449	300	367
450	301	367
451	302	366
452	302	365
453	303	365
454	304	364
455	304	363
456	305	362
457	306	362
458	306	361
459	307	360
460	308	360
461	308	359
462	309	358
463	310	358
464	311	357
465	311	357
466	312	356
467	312	355
468	313	355
469	314	354
470	314	353
471	315	353
472	316	352
473	316	351
474	317	351
475	318	350
476	318	349
477	319	348
478	320	348
479	320	347
480	321	346
481	321	346
482	322	345
483	323	344
484	323	343
485	324	343
486	325	343
487	326	342
488	327	341
489	327	341
490	328	340
491	329	339
492	329	339
493	330	338
494	331	337
495	331	337
496	332	336
497	333	335
498	333	334
499	334	334
500	334	333
501	335	332
502	336	332
503	336	331
504	337	330
505	338	329
506	338	329
507	339	328
508	339	327
509	340	327
510	341	326
511	342	326
512	342	325
513	343	324
514	343	323
515	344	323
516	345	322
517	345	321
518	346	321
519	347	320
520	347	319
521	348	319
522	349	318
523	349	317
524	350	316
525	351	316
526	351	315
527	352	314
528	352	314
529	353	313
530	354	312
531	354	312
532	355	311
533	356	311
534	357	310
535	357	309
536	358	309
537	359	308
538	359	307
539	360	307
540	361	306
541	361	305
542	362	305
543	363	304
544	363	303
545	364	303
546	365	302
547	365	301
548	366	301
549	367	301
550	368	300
551	369	299
552	369	299
553	370	298
554	371	298
555	372	297
556	373	296
557	373	296
558	374	295
559	375	295
560	376	294
561	377	293
562	377	293
563	378	292
564	379	292
565	380	291
566	380	290
567	381	290
568	382	289
569	382	288
570	383	288
571	384	287
572	384	286
573	385	285
574	386	285
575	387	284
576	387	284
577	388	283
578	389	282
579	389	282
580	390	281
581	391	280
582	391	280
583	392	279
584	392	278
585	393	278
586	394	277
587	394	276
588	395	275
589	396	275
590	396	274
591	397	273
592	398	273
593	398	272
594	399	271
595	400	271
596	400	270
597	401	270
598	402	269
599	403	269
600	404	268
601	404	267
602	405	266
603	406	266
604	406	265
605	407	264
606	408	264
607	408	263
608	409	262
609	409	262
610	410	261
611	411	260
612	411	260
613	412	259
614	413	258
615	413	258
616	414	257
617	415	256
618	415	255
619	416	255
620	417	254
621	418	254
622	418	253
623	419	252
624	420	252
625	420	251
626	421	250
627	422	250
628	422	249
629	423	248
630	424	247
631	424	247
632	425	246
633	425	245
634	426	245
635	427	244
636	427	243
637	428	243
638	429	242
639	429	241
640	430	241
641	431	240
642	431	239
643	432	239
644	433	238
645	434	237
646	434	237
647	435	236
648	436	235
649	436	235
650	437	234
651	438	233
652	438	233
653	439	232
654	440	231
655	440	231
656	441	230
657	442	229
658	442	229
659	443	228
660	444	227
661	444	227
662	445	226
663	445	225
664	446	224
665	447	224
666	448	223
667	448	223
668	449	222
669	450	221
670	450	221
671	451	220
672	452	219
673	452	219
674	453	218
675	454	217
676	454	216
677	455	216
678	456	215
679	456	214
680	457	214
681	457	213
682	458	212
683	459	212
684	459	211
685	460	210
686	461	210
687	461	209
688	462	208
689	463	208
690	464	207
691	465	207
692	465	206
693	466	205
694	467	205
695	467	204
696	468	203
697	469	202
698	469	202
699	470	201
700	470	200
701	471	200
702	472	199
703	472	198
704	473	198
705	474	197
706	474	196
707	475	196
708	476	195
709	476	194
710	477	194
711	478	193
712	479	192
713	479	192
714	480	191
715	481	190
716	481	190
717	482	189
718	482	188
719	483	188
720	484	187
721	484	186
722	485	185
723	486	185
724	486	184
725	487	183
726	487	183
727	488	182
728	489	181
729	489	181
730	490	180
731	491	179
732	491	179
733	492	178
734	493	177
735	493	177
736	494	176
737	495	175
738	496	175
739	496	174
740	497	173
741	497	173
742	498	172
743	499	171
744	499	171
745	500	170
746	501	169
747	501	169
748	502	168
749	503	167
750	503	167
751	504	166
752	505	165
753	505	165
754	506	164
755	507	163
756	508	163
757	508	162
758	509	161
759	510	161
760	511	160
761	511	159
762	512	159
763	513	158
764	513	157
765	514	157
766	515	156
767	515	155
768	516	155
769	516	154
770	517	153
771	518	153
772	518	152
773	519	151
774	520	150
775	520	150
776	521	149
777	521	148
778	522	148
779	523	147
780	524	146
781	525	146
782	525	145
783	526	145
784	526	144
785	527	143
786	528	142
787	529	142
788	529	141
789	530	140
790	530	140
791	531	139
792	532	138
793	533	138
794	533	137
795	534	136
796	535	136
797	535	135
798	536	134
799	537	134
800	537	133
801	538	132
802	538	132
803	539	131
804	540	130
805	541	130
806	541	129
807	542	128
808	543	128
809	543	127
810	544	126
811	545	126
812	545	125
813	546	124
814	547	124
815	547	123
816	548	122
817	549	122
818	549	121
819	550	120
820	550	120
821	551	119
822	552	118
823	552	118
824	553	117
825	554	116
826	555	116
827	556	115
828	556	114
829	557	114
830	558	113
831	558	112
832	559	112
833	560	111
834	560	110
835	561	110
836	562	109
837	562	108
838	563	108
839	564	107
840	564	106
841	565	106
842	565	105
843	566	104
844	567	104
845	567	103
846	568	102
847	569	102
848	569	101
849	570	100
850	571	100
851	572	99
852	573	98
853	573	98
854	574	97
855	574	96
856	575	96
857	576	95
858	576	94
859	577	94
860	578	93
861	578	92
862	579	91
863	580	91
864	580	90
865	581	89
866	582	89
867	582	88
868	583	87
869	584	87
870	584	86
871	585	85
872	586	85
873	587	84
874	587	83
875	588	83
876	589	82
877	589	81
878	590	81
879	591	80
880	591	79
881	592	79
882	593	78
883	593	77
884	594	77
885	594	76
886	595	75
887	596	75
888	596	74
889	597	73
890	598	73
891	598	72
892	599	71
893	600	71
894	600	70
895	601	69
896	602	69
897	602	68
898	603	67
899	604	67
900	604	66
901	605	65
902	606	65
903	606	64
904	607	63
905	608	63
906	608	62
907	609	61
908	610	61
909	610	60
910	611	59
911	612	59
912	612	58
913	613	57
914	613	57
915	614	56
916	615	55
917	615	55
918	616	54
919	617	53
920	618	53
921	619	52
922	619	51
923	620	51
924	621	50
925	621	49
926	622	49
927	622	48
928	623	47
929	624	46
930	624	46
931	625	45
932	626	44
933	626	44
934	627	43
935	628	42
936	628	42
937	629	41
938	630	40
939	630	40
940	631	39
941	632	38
942	633	38
943	634	37
944	634	36
945	635	36
